ra,dec,l,b,parallax,pmra,pmdec,g,bp,rp,parallax_error,ruwe
57.625695720218445,22.64134909689984,168.31084009882656,-24.05702812988912,0.6009331870567275,-1.2651933219298552,-3.664396134727365,17.942938,18.714838,17.003864,0.18851702,0.96928406
57.64926210804315,22.65357341285288,168.31897007857526,-24.033209244577584,0.3217539194698882,0.1756842911403106,-0.2994124903952758,19.47088,19.97695,18.78623,0.38460854,1.0311176
57.65645592659345,22.651087528787937,168.3261238544885,-24.030458728932143,0.7078622214368754,0.71055256842053,-3.7717625759901336,20.34925,20.951847,19.351307,0.82591844,1.0674435
57.669831971527024,22.66306674736215,168.32694370191945,-24.013274152038125,,,,21.59976,20.42918,19.11107,,
57.509144262666126,22.587982037250512,168.2651760002265,-24.16966242054937,0.0344888528810883,1.5567302315668736,-9.341153430791664,19.528042,20.527487,18.4627,0.47323698,1.0534123
57.528491167088205,22.60164318844644,168.26916172902472,-24.14747119442543,,,,20.906221,21.10996,19.811983,,
57.5278781250882,22.60282620073382,168.2678213192653,-24.1469981163452,,,,20.693352,20.118948,18.47397,,
57.54242923948335,22.609190665230287,168.2737535643802,-24.133154330740332,0.5238490946872358,-1.368385032719932,-2.209889076527064,20.212969,20.604141,19.617247,0.803734,1.023322
57.52941092300481,22.610435975516076,168.26323226363954,-24.140488519344284,0.7349971858092846,6.506552410053022,-7.369592031599691,15.052664,15.546779,14.382121,0.033255186,1.0388386
57.539224850697344,22.6034186329141,168.27573166790776,-24.139383985974444,0.33929059572184,3.426127476609276,-2.560623075100932,19.066593,19.574594,18.462467,0.3240372,0.9910881
57.513793689613955,22.61691571714698,168.24686264614866,-24.14565463537396,-1.7934458337695809,1.732339361116709,1.2152784487929358,20.671076,20.57322,19.484425,1.8866619,1.0019268
57.50859552209952,22.611701232236022,168.2469509501516,-24.152740535817944,1.3194964129528648,7.791718642528095,10.699863660887184,17.196531,18.03791,16.286848,0.10780107,1.0684692
57.521965519804816,22.613629025042115,168.2553502953595,-24.142876273577553,,,,21.03659,20.442764,19.724878,,
57.579852622139136,22.61465128450898,168.2971934359565,-24.105484698902018,0.1276258445145911,2.046400115042336,-2.4694610444233365,18.046894,18.591425,17.228855,0.1714948,1.065557
57.59552885191256,22.63174456116871,168.29587815440064,-24.083121340616295,0.2195868586161754,1.1171272730176112,-2.580737954399734,19.303535,19.818151,18.575409,0.38592222,1.0654335
57.59373881635309,22.63197858197911,168.29438573053014,-24.08408471246816,0.6095624957411443,3.175313107791661,-20.004283937004647,15.408612,16.001892,14.645716,0.09683139,2.8190742
57.58801694406148,22.627362164532677,168.2936464962572,-24.09106672817371,0.9932383892471652,-1.195283568378858,-2.9830761421144523,17.095894,17.84403,16.253174,0.08981629,0.92368627
57.583603869267634,22.638575963135818,168.28197326564236,-24.0857024618535,0.9410835229292628,16.972484225137745,-34.196943069923215,19.286373,20.412518,18.210335,0.3950776,1.0819308
57.54822730695655,22.626919318303013,168.26470087679556,-24.116580560431636,1.2022848441310758,-0.6533352399216372,-3.816141814691403,19.866917,20.649017,19.019262,0.57445186,1.037619
